return_type,return_period,filing_date,total_taxable,total_tax,total_invoices,status,gstin
GSTR1,122024,2025-01-08,,,,,03QAHFE7680NZZM
GSTR2B,122024,2025-02-12,,,,,03QAHFE7680NZZM
GSTR3B,122024,2025-01-20,,,,,03QAHFE7680NZZM
GSTR1,122024,2025-01-07,,,,,06LHWCW4227D3ZC
GSTR2B,122024,2025-01-16,,,,,06LHWCW4227D3ZC
GSTR3B,122024,2025-01-17,,,,,06LHWCW4227D3ZC
GSTR1,122024,2025-01-10,,,,,05NZJPJ8685W7ZH
GSTR2B,122024,2025-01-15,,,,,05NZJPJ8685W7ZH
GSTR3B,122024,2025-01-15,,,,,05NZJPJ8685W7ZH
GSTR1,122024,2025-01-29,,,,,33NZJPJ8685WOZ1
GSTR2B,122024,2025-01-18,,,,,33NZJPJ8685WOZ1
GSTR3B,122024,2025-01-16,,,,,33NZJPJ8685WOZ1
GSTR1,122024,2025-01-06,,,,,15JRSBT6524ILZ6
GSTR2B,122024,2025-01-16,,,,,15JRSBT6524ILZ6
GSTR3B,122024,2025-01-20,,,,,15JRSBT6524ILZ6
GSTR1,122024,2025-01-31,,,,,05JRSBT6524IEZE
GSTR2B,122024,2025-03-14,,,,,05JRSBT6524IEZE
GSTR3B,122024,2025-01-16,,,,,05JRSBT6524IEZE
GSTR1,122024,2025-01-10,,,,,37OSFJM8611XFZ8
GSTR2B,122024,2025-01-17,,,,,37OSFJM8611XFZ8
GSTR3B,122024,2025-01-26,,,,,37OSFJM8611XFZ8
GSTR1,122024,2025-01-06,,,,,32DMTBE6740M8Z7
GSTR2B,122024,2025-02-03,,,,,32DMTBE6740M8Z7
GSTR3B,122024,2025-01-18,,,,,32DMTBE6740M8Z7
GSTR1,122024,2025-01-09,,,,,35NGQBJ4498IXZA
GSTR2B,122024,2025-01-18,,,,,35NGQBJ4498IXZA
GSTR3B,122024,2025-01-16,,,,,35NGQBJ4498IXZA
GSTR1,122024,2025-01-29,,,,,10NGQBJ4498IOZV
GSTR2B,122024,2025-01-15,,,,,10NGQBJ4498IOZV
GSTR3B,122024,2025-01-18,,,,,10NGQBJ4498IOZV
GSTR1,122024,2025-02-19,,,,,20OUNAT3098ZWZV
GSTR2B,122024,,,,,,20OUNAT3098ZWZV
GSTR3B,122024,2025-01-17,,,,,20OUNAT3098ZWZV
GSTR1,122024,,,,,,13ZNDJR1569RGZM
GSTR2B,122024,,,,,,13ZNDJR1569RGZM
GSTR3B,122024,,,,,,13ZNDJR1569RGZM
GSTR1,122024,2025-01-06,,,,,34OPAAH0035IGZK
GSTR2B,122024,2025-02-19,,,,,34OPAAH0035IGZK
GSTR3B,122024,2025-01-18,,,,,34OPAAH0035IGZK
GSTR1,122024,2025-01-07,,,,,07UECLL4476UDZZ
GSTR2B,122024,2025-01-19,,,,,07UECLL4476UDZZ
GSTR3B,122024,2025-01-16,,,,,07UECLL4476UDZZ
GSTR1,122024,2025-01-07,,,,,01DEMBO8806RVZQ
GSTR2B,122024,2025-01-18,,,,,01DEMBO8806RVZQ
GSTR3B,122024,,,,,,01DEMBO8806RVZQ
GSTR1,122024,,,,,,34KBJLI9726XZZJ
GSTR2B,122024,2025-01-15,,,,,34KBJLI9726XZZJ
GSTR3B,122024,2025-01-17,,,,,34KBJLI9726XZZJ
GSTR1,122024,2025-01-15,,,,,16IBMPF0580C3ZS
GSTR2B,122024,2025-01-20,,,,,16IBMPF0580C3ZS
GSTR3B,122024,2025-01-20,,,,,16IBMPF0580C3ZS
GSTR1,122024,2025-01-07,,,,,20KPNGG6321U7ZL
GSTR2B,122024,2025-01-17,,,,,20KPNGG6321U7ZL
GSTR3B,122024,2025-01-29,,,,,20KPNGG6321U7ZL
GSTR1,122024,2025-01-08,,,,,36FGYBH3187T9ZK
GSTR2B,122024,2025-01-16,,,,,36FGYBH3187T9ZK
GSTR3B,122024,2025-01-20,,,,,36FGYBH3187T9ZK
GSTR1,122024,2025-01-16,,,,,07FGYBH3187TAZK
GSTR2B,122024,2025-01-19,,,,,07FGYBH3187TAZK
GSTR3B,122024,2025-01-18,,,,,07FGYBH3187TAZK
GSTR1,122024,2025-01-10,,,,,18PSFGQ4980NTZ8
GSTR2B,122024,2025-01-19,,,,,18PSFGQ4980NTZ8
GSTR3B,122024,2025-03-07,,,,,18PSFGQ4980NTZ8
GSTR1,122024,2025-01-08,,,,,20LABCR0354BEZN
GSTR2B,122024,2025-01-17,,,,,20LABCR0354BEZN
GSTR3B,122024,2025-01-17,,,,,20LABCR0354BEZN
GSTR1,122024,2025-01-09,,,,,07LABCR0354BNZ2
GSTR2B,122024,2025-01-15,,,,,07LABCR0354BNZ2
GSTR3B,122024,2025-01-15,,,,,07LABCR0354BNZ2
GSTR1,122024,2025-01-07,,,,,12WKQCH8988A7ZW
GSTR2B,122024,2025-01-17,,,,,12WKQCH8988A7ZW
GSTR3B,122024,2025-01-18,,,,,12WKQCH8988A7ZW
GSTR1,122024,,,,,,27BMFJL3720GXZO
GSTR2B,122024,2025-01-20,,,,,27BMFJL3720GXZO
GSTR3B,122024,2025-01-17,,,,,27BMFJL3720GXZO
GSTR1,122024,2025-01-07,,,,,23ZNYBI1921NDZD
GSTR2B,122024,2025-01-18,,,,,23ZNYBI1921NDZD
GSTR3B,122024,2025-01-16,,,,,23ZNYBI1921NDZD
GSTR1,122024,2025-01-07,,,,,22SAYPV7763CRZW
GSTR2B,122024,2025-01-19,,,,,22SAYPV7763CRZW
GSTR3B,122024,2025-01-16,,,,,22SAYPV7763CRZW
GSTR1,122024,2025-01-06,,,,,20SOELV7154AUZ7
GSTR2B,122024,2025-03-02,,,,,20SOELV7154AUZ7
GSTR3B,122024,2025-02-22,,,,,20SOELV7154AUZ7
GSTR1,122024,2025-01-06,,,,,16RNUCV0563YVZX
GSTR2B,122024,2025-01-18,,,,,16RNUCV0563YVZX
GSTR3B,122024,2025-01-18,,,,,16RNUCV0563YVZX
GSTR1,122024,2025-01-11,,,,,01TLXTG7331WGZ2
GSTR2B,122024,2025-01-18,,,,,01TLXTG7331WGZ2
GSTR3B,122024,2025-01-17,,,,,01TLXTG7331WGZ2
GSTR1,122024,2025-01-08,,,,,35DDMPR5986XVZY
GSTR2B,122024,2025-01-18,,,,,35DDMPR5986XVZY
GSTR3B,122024,2025-01-16,,,,,35DDMPR5986XVZY
GSTR1,122024,2025-01-08,,,,,22TVHPP6202IAZZ
GSTR2B,122024,2025-01-17,,,,,22TVHPP6202IAZZ
GSTR3B,122024,2025-01-19,,,,,22TVHPP6202IAZZ
GSTR1,122024,2025-01-06,,,,,02BKOLB2495WPZY
GSTR2B,122024,2025-01-19,,,,,02BKOLB2495WPZY
GSTR3B,122024,2025-02-12,,,,,02BKOLB2495WPZY
GSTR1,122024,2025-01-06,,,,,26YKTPZ6224A9ZY
GSTR2B,122024,2025-01-20,,,,,26YKTPZ6224A9ZY
GSTR3B,122024,2025-01-17,,,,,26YKTPZ6224A9ZY
GSTR1,122024,2025-01-10,,,,,02YKTPZ6224AQZR
GSTR2B,122024,2025-01-19,,,,,02YKTPZ6224AQZR
GSTR3B,122024,2025-01-16,,,,,02YKTPZ6224AQZR
GSTR1,122024,2025-01-20,,,,,26RCLJF0323YVZ3
GSTR2B,122024,2025-01-15,,,,,26RCLJF0323YVZ3
GSTR3B,122024,2025-01-16,,,,,26RCLJF0323YVZ3
GSTR1,122024,2025-01-26,,,,,04RCLJF0323YNZH
GSTR2B,122024,2025-01-16,,,,,04RCLJF0323YNZH
GSTR3B,122024,2025-03-19,,,,,04RCLJF0323YNZH
GSTR1,122024,2025-01-15,,,,,08BYBAH1011VBZU
GSTR2B,122024,2025-01-15,,,,,08BYBAH1011VBZU
GSTR3B,122024,2025-01-20,,,,,08BYBAH1011VBZU
GSTR1,122024,,,,,,27ZSUCJ1036MKZT
GSTR2B,122024,2025-01-19,,,,,27ZSUCJ1036MKZT
GSTR3B,122024,2025-01-15,,,,,27ZSUCJ1036MKZT
GSTR1,122024,2025-01-06,,,,,29PDZAL5606ASZ0
GSTR2B,122024,2025-03-11,,,,,29PDZAL5606ASZ0
GSTR3B,122024,2025-01-20,,,,,29PDZAL5606ASZ0
GSTR1,122024,2025-01-09,,,,,06NQQPY4472HPZ3
GSTR2B,122024,2025-01-17,,,,,06NQQPY4472HPZ3
GSTR3B,122024,2025-01-18,,,,,06NQQPY4472HPZ3
GSTR1,122024,2025-01-11,,,,,01MIMHZ2258RGZ6
GSTR2B,122024,2025-01-15,,,,,01MIMHZ2258RGZ6
GSTR3B,122024,2025-01-15,,,,,01MIMHZ2258RGZ6
GSTR1,122024,2025-01-10,,,,,36QMUBJ2635PUZU
GSTR2B,122024,2025-01-16,,,,,36QMUBJ2635PUZU
GSTR3B,122024,2025-01-19,,,,,36QMUBJ2635PUZU
GSTR1,122024,2025-01-07,,,,,18GDFBX5712POZS
GSTR2B,122024,2025-02-16,,,,,18GDFBX5712POZS
GSTR3B,122024,2025-01-20,,,,,18GDFBX5712POZS
GSTR1,122024,2025-01-11,,,,,01ANHAR2967D4ZW
GSTR2B,122024,2025-01-17,,,,,01ANHAR2967D4ZW
GSTR3B,122024,2025-01-18,,,,,01ANHAR2967D4ZW
GSTR1,122024,2025-01-11,,,,,06WCBJC5618JFZ7
GSTR2B,122024,2025-01-15,,,,,06WCBJC5618JFZ7
GSTR3B,122024,2025-01-15,,,,,06WCBJC5618JFZ7
GSTR1,122024,2025-02-14,,,,,14JXHTN3667Y5ZQ
GSTR2B,122024,2025-01-17,,,,,14JXHTN3667Y5ZQ
GSTR3B,122024,2025-01-18,,,,,14JXHTN3667Y5ZQ
GSTR1,122024,2025-01-06,,,,,17KRMAH2280H5Z7
GSTR2B,122024,2025-01-16,,,,,17KRMAH2280H5Z7
GSTR3B,122024,2025-02-08,,,,,17KRMAH2280H5Z7
GSTR1,122024,2025-01-23,,,,,21KRMAH2280HJZ4
GSTR2B,122024,2025-02-11,,,,,21KRMAH2280HJZ4
GSTR3B,122024,2025-03-10,,,,,21KRMAH2280HJZ4
GSTR1,122024,2025-03-11,,,,,21MHKGQ5458X2ZE
GSTR2B,122024,2025-01-17,,,,,21MHKGQ5458X2ZE
GSTR3B,122024,2025-02-27,,,,,21MHKGQ5458X2ZE
GSTR1,122024,,,,,,34RHBCP5429NBZ0
GSTR2B,122024,2025-01-20,,,,,34RHBCP5429NBZ0
GSTR3B,122024,2025-01-20,,,,,34RHBCP5429NBZ0
GSTR1,122024,2025-01-11,,,,,35SHYPB4339MYZD
GSTR2B,122024,2025-01-15,,,,,35SHYPB4339MYZD
GSTR3B,122024,2025-01-19,,,,,35SHYPB4339MYZD
GSTR1,122024,2025-01-06,,,,,02TQTFI5946D6ZP
GSTR2B,122024,,,,,,02TQTFI5946D6ZP
GSTR3B,122024,2025-03-21,,,,,02TQTFI5946D6ZP
